Mes;Total;Comprovantes
set de 2022;95.57471397;2218
ago de 2022;101.73186407;2608
jul de 2022;109.71368919;2522
jun de 2022;93.54354255;2748
mai de 2022;93.24867958;2580
abr de 2022;92.04279489;2421
mar de 2022;86.10914302;2303
fev de 2022;103.60566682;2559
jan de 2022;82.45710064;1493
